,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
0,Easy Green Chile Enchiladas,"1 whole onion, diced
2 tablespoons butter
1 can (15 ounce) green enchilada sauce
2 cans (4 ounce) chopped green chilies
12 whole corn tortillas
2 cups freshly grated cheddar (or cheddar-jack) cheese (or any cheese you'd like)
 sour cream
 salsa
 pico de gallo (optional)
 guacamole (optional)
 cilantro leaves, optional",http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,PT10M,4,2012-05-31,PT5M,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a...",Easy
1,Bacon-Wrapped Scallops with Chili Butter,"2 pounds large scallops
1/2 pound bacon, cut into thirds or halves
1 stick butter
2 teaspoons chili powder
 dash of cayenne",http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,PT20M,8,2012-01-19,PT15M,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo...",Medium
2,Spicy Stewed Beef with Creamy Cheddar Grits,"2 tablespoons canola oil
2 tablespoons butter
3 pounds stew meat or diced chuck roast
1 can (11 ounces) chipotle peppers in adobo sauce
4 cups low-sodium beef broth, more if needed
5 cloves minced garlic
1 tablespoon cumin
2 teaspoons chili powder
1 whole onion, diced
1 whole red bell pepper
3 whole chilies (any variety, hot or mild)
4 cups stone ground grits
6 cups low sodium chicken (or beef) broth
3 cups water
2 cups half-and-half
2 cups grated cheddar cheese",http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,PT3H,12,2012-01-30,PT20M,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",Hard
3,Vegetarian Lettuce Wraps,"2 teaspoons peanut or olive oil
1 package (about 12-14 oz. size) firm tofu
2 ears corn (or 1 1/2 cups frozen corn kernels)
1/4 teaspoon chili powder (more to taste)
1/4 cup soy sauce
 romaine lettuce hearts
2 whole avocados, sliced
1 teaspoon balsamic vinegar (optional)",http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,PT15M,6,2012-02-22,PT5M,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ...",Easy
4,Grillin’ Recipe Contest Winners!,"4 whole ribeye, hanger, flat iron, or strip steaks
1/2 teaspoon ground nutmeg
1/2 teaspoon ground cumin
1 teaspoon ground cinnamon
1 teaspoon ground ginger
2 tablespoons chili powder
1/2 teaspoon ground turmeric
2 tablespoons garlic salt
1 cup olive oil
2 cans bush's grillin beans steakhouse recipe",http://thepioneerwoman.com/cooking/2012/05/grillin-recipe-contest-winners/,http://static.thepioneerwoman.com/cooking/files/2012/05/bushs41.jpg,PT5M,4,2012-05-17,PT10M,"Before I share my fourth and final grilling recipe, I’m busting at the seams to announce the winners of the Bush’s Grilli...",Easy
5,Spicy Beans,"4 cups dry pinto beans
1 whole ham hock
1 whole onion, diced
2 whole red bell peppers, diced
4 cloves garlic, minced
2 whole jalapenos, sliced
2 teaspoons salt, more to taste
2 teaspoons chili powder (optional)
2 teaspoons black pepper, more to taste",http://thepioneerwoman.com/cooking/2011/08/spicy-beans/,http://static.thepioneerwoman.com/cooking/files/2011/08/6005198000_e154cac62e_o.jpg,PT4H,12,2011-08-04,PT5M,"My name is Pioneer Woman and I love beans.     Hi, Pioneer Woman.     Sorry. It's true, though. A big pot of brown beans simm...",Hard
6,Frito Chili Pie,"2 pounds ground chuck
3 cloves garlic, minced (optional)
1 can (12 to 14 ounce) tomato sauce
1 can (10 ounce) ro-tel (diced tomatoes and chilies)
1/2 teaspoon salt
1 teaspoon ground oregano
1 tablespoon ground cumin
2 tablespoons chili powder (more to taste)
1 can (14-ounce) kidney beans, drained and rinsed
1 can (14-ounce) pinto beans, drained and rinsed
1/4 cup masa (corn flour) or regular corn meal
1/2 cup warm water
 individual bags of fritos
 grated sharp cheddar cheese
 diced red onion (optional)",http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,PT1H,8,2011-09-26,PT5M,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",Hard
7,Caveman Pops (aka Roasted Turkey Legs),"10 whole turkey legs
 brine:
4 quarts water
1 cup kosher salt
1 cup sugar
1 cup brown sugar
2 tablespoons seasoning blend (i used montreal)
1 whole bay leaf
 dry rub
2 tablespoons chili powder (less if you don't like things too spicy!)
2 teaspoons seasoning blend (i used montreal)
2 teaspoons paprika
2 teaspoons onion salt",http://thepioneerwoman.com/cooking/2011/10/caveman-pops-aka-roasted-turkey-legs/,http://static.thepioneerwoman.com/cooking/files/2011/10/caveman.jpg,PT30M,10,2011-10-17,PT6H,"While a few state fairs are happening right now, the one in my state (as is the case with many others) has drawn to a close. ...",Hard
8,Beef Noodle Salad Bowls,"1 whole sirloin steak, 3/4 to 1 pound
 kosher salt to taste
3/4 cups ponzo or regular soy sauce
3 tablespoons pure sesame oil
2 tablespoons olive oil
2 tablespoons rice wine vinegar
1 teaspoon hot chili oil (less if you can't handle heat!)
2 cloves garlic, peeled and minced finely
2 teaspoons minced fresh ginger
2 tablespoons packed brown sugar
1/2 cup sliced green onion
8 ounces, weight thin noodles (i used thin spaghetti)
 cilantro leaves",http://thepioneerwoman.com/cooking/2011/05/beef-noodle-salad-bowls/,http://static.thepioneerwoman.com/cooking/files/2011/05/5712043212_092a8fe85d_o.jpg,PT10M,4,2011-05-12,PT10M,At the salad supper I attended a couple of weeks ago--the one that gave birth to this chicken salad I made recently--four sal...,Easy
9,Beef and Bean Burritos,"2 pounds ground beef
1/2 whole medium onion
1 can (7 ounce) mexican tomato sauce or enchilada sauce
 salt and pepper, to taste
 cumin, oregano, chili powder, garlic to taste
1 can (28 ounce) refried beans
3/4 cups grated cheddar cheese
12 whole burrito-sized flour tortillas
 extra grated cheese, for sprinkling
 extra sauce, for drizzling
 cilantro leaves, optional
 optional filling ingredients: mexican rice, sour cream, guacamole, green chilies, pico de gallo",http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,PT11M,6,2010-07-12,PT5M,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",Easy
